date,MSFT
2022-03-25,22443541.0
2022-03-24,24484456.0
2022-03-23,25715377.0
2022-03-22,27441386.0
2022-03-21,28107855.0
2022-03-18,42195837.0
2022-03-17,30816633.0
2022-03-16,37826329.0
2022-03-15,34245085.0
2022-03-14,30660747.0
2022-03-11,27209330.0
2022-03-10,30628012.0
2022-03-09,35204480.0
2022-03-08,48159475.0
2022-03-07,43157178.0
2022-03-04,32369655.0
2022-03-03,27314469.0
2022-03-02,31873007.0
2022-03-01,31217778.0
2022-02-28,34627457.0
2022-02-25,32546721.0
2022-02-24,56989686.0
2022-02-23,37811167.0
2022-02-22,41569319.0
2022-02-18,34264008.0
2022-02-17,32461580.0
2022-02-16,29982121.0
2022-02-15,27379488.0
2022-02-14,36359487.0
2022-02-11,39175620.0
2022-02-10,45386199.0
2022-02-09,31284671.0
2022-02-08,32421188.0
2022-02-07,28533286.0
2022-02-04,35096488.0
2022-02-03,43729972.0
2022-02-02,36635989.0
2022-02-01,40950396.0
2022-01-31,46444536.0
2022-01-28,49743698.0
2022-01-27,53481317.0
2022-01-26,90428853.0
2022-01-25,72848638.0
2022-01-24,86035393.0
2022-01-21,57984403.0
2022-01-20,35380675.0
2022-01-19,45485618.0
2022-01-18,41717982.0
2022-01-14,39846414.0
2022-01-13,45365979.0
2022-01-12,34372217.0
2022-01-11,29267314.0
2022-01-10,44289467.0
2022-01-07,32720018.0
2022-01-06,39646148.0
2022-01-05,40054327.0
2022-01-04,32674306.0
2022-01-03,28918013.0
2021-12-31,17772880.0
2021-12-30,15994471.0
2021-12-29,15041956.0
2021-12-28,15661467.0
2021-12-27,19947029.0
2021-12-23,19617848.0
2021-12-22,24831493.0
2021-12-21,24740597.0
2021-12-20,28326532.0
2021-12-17,47983713.0
2021-12-16,35034831.0
2021-12-15,35381122.0
2021-12-14,44438699.0
2021-12-13,28899431.0
2021-12-10,38095694.0
2021-12-09,22214158.0
2021-12-08,24760988.0
2021-12-07,31021936.0
2021-12-06,30032556.0
2021-12-03,41779279.0
2021-12-02,30765980.0
2021-12-01,33401146.0
2021-11-30,42885609.0
2021-11-29,28563481.0
2021-11-26,24217242.0
2021-11-24,21661307.0
2021-11-23,30427563.0
2021-11-22,31031113.0
2021-11-19,21963403.0
2021-11-18,22463533.0
2021-11-17,19053380.0
2021-11-16,20886832.0
2021-11-15,16723009.0
2021-11-12,23484434.0
2021-11-11,16849844.0
2021-11-10,25500938.0
2021-11-09,19890003.0
2021-11-08,20897001.0
2021-11-05,22570098.0
2021-11-04,23992202.0
2021-11-03,21500082.0
2021-11-02,25719044.0
